title,url,discounted_price,original_price,User-Agent
0.4mm Tempered Glass Screen Protector for iPhone 5s 5c 5 EPASP-324041,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/04mm-tempered-glass-screen-protector-for-iphone-5s-5c-5-p-132751.html,$1.79,$4.67 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"AOSON M1016 10.1"" Android 4.4 A31S Tablet PC w/ Miracast + Case KB-378543",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/aoson-m1016-101-android-44-a31s-tablet-pc-w-miracast-case-p-146208.html,$94.99,$224.61 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Bathroom Logo Pattern Wall Sticker Toilet WC Paper Sticker Decal HHIDI-352692,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/bathroom-logo-pattern-wall-sticker-toilet-wc-paper-sticker-decal-p-139800.html,$1.90,$3.40 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
0.3mm Tempered Glass Screen Front Protector for OnePlus EPASP-386548,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/03mm-tempered-glass-screen-front-protector-for-oneplus-p-147904.html,$2.40,$2.95 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Simplified Package 30X Cell Phone Microscope with LED Light TCT-370279,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/simplified-package-30x-cell-phone-microscope-with-led-light-p-144160.html,$3.72,$13.11 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"ELEPHONE P6000 5"" OGS Android 4.4.4 MTK6732 4-Core 4G LTE Phone P05-EPP6000",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/elephone-p6000-5-ogs-android-444-mtk6732-4-core-4g-lte-phone-p-142203.html,$124.89,$167.33 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
IMAX 6 Black DIY Google Cardboard with User Manual Printed Gift EPATH-377374,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/imax-6-black-diy-google-cardboard-with-user-manual-printed-gift-p-146092.html,$6.25,$8.48 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"RITECH Virtual Reality 3D Glasses for 3.5-5.6"" Smartphones  EPATH-370295",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/ritech-virtual-reality-3d-glasses-for-35-56-smartphones-p-144029.html,$9.62,$26.36 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"LAUDE PULSE S800 5 ""QHD MTK6582 Quad Core Android 4.4.2 3G Phone P05-S800",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/laude-pulse-s800-5-qhd-mtk6582-quad-core-android-442-3g-phone-p-134261.html,$81.88,$116.82 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"SJ6000 2"" LCD WiFi 14.0MP 170° Lens Waterproof Sport DV ECM-340984",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/sj6000-2-lcd-wifi-140mp-170°-lens-waterproof-sport-dv-p-137566.html,$88.32,$138.88 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
